,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 17,230,110,20,6200000,2,1,2,2,2,3,2,2,2,2,4000,11,5850,1,2,1,1,2,14.3,4.6,3,4.624666667,5,848500
Project 18,300,140,20,5200000,2,1,2,2,2,4,3,2,2,2,3600,7,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,10,983000
Project 19,240,90,22,4250000,2,2,2,2,2,2,2,2,1,2,3600,9,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,12,672000
Project 20,220,110,15,2250000,2,1,2,2,2,3,2,1,1,2,3400,10,4700,3,1,1,1,2,18.23333333,12.96666667,2,12.985,6,727500
Project 21,200,90,22,3500000,2,2,2,2,2,2,1,2,2,1,1550,9,2500,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,10,357000
Project 22,200,90,54,4500000,2,2,2,2,2,2,1,2,2,1,2700,9,4000,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,12,555000
Project 23,180,85,18,2500000,2,1,2,1,1,2,1,1,2,1,3150,12,4400,1,1,1,1,2,19.7,26.23333333,1,26.23333333,15,575000
Project 24,190,80,25,2400000,2,2,2,1,1,2,1,2,2,1,2550,14,3700,1,1,1,1,2,15.4,18.76666667,1,18.753,12,462000
Project 25,320,150,18,6500000,2,2,2,2,1,4,3,2,2,1,3400,15,5100,3,1,2,1,2,18.23333333,12.96666667,2,12.985,15,990000
Project 26,280,130,15,5350000,2,2,2,1,2,3,2,1,1,2,3700,10,5250,3,3,2,2,1,17.53333333,13.76666667,3,13.742,7,910500
Project 27,260,120,17,3350000,2,1,2,1,2,3,2,2,1,2,3500,6,4800,3,3,2,2,1,17.5,14.56666667,2,14.573,6,798000
Project 28,170,80,10,2350000,2,2,2,1,2,2,1,2,1,1,3700,8,5050,1,2,1,1,2,17.53333333,13.76666667,2,13.742,8,590000
Project 29,160,75,15,1350000,2,1,2,1,1,2,1,1,1,1,3500,10,4600,3,1,1,1,2,17.5,14.56666667,2,14.573,9,532500
Project 30,210,100,22,2350000,2,2,2,1,1,3,2,2,1,2,3600,9,4950,1,2,1,1,2,17.9,15.13333333,3,15.10033333,10,705000
Project 31,220,105,25,4450000,2,1,2,2,2,3,2,2,1,2,3500,10,5000,3,2,1,1,2,17.5,14.56666667,2,14.573,12,743250
Project 32,210,100,15,2250000,2,1,2,1,2,3,1,2,2,2,3700,11,5050,3,1,2,2,2,17.53333333,13.76666667,3,13.742,7,710000
Project 33,250,120,23,3550000,2,2,2,1,2,3,2,2,2,1,3800,10,5200,3,2,1,1,2,16.66666667,12.16666667,3,12.16,10,852000
Project 34,240,115,26,1050000,2,2,2,1,2,3,2,1,2,1,1600,8,2450,3,1,1,1,2,11.86666667,11.2,2,11.21833333,15,414500
Project 35,220,105,17,1150000,2,1,2,1,2,2,2,2,2,1,1650,8,2500,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,12,396750
Project 36,225,110,27,1050000,2,1,2,1,2,3,2,1,1,1,1550,8,2400,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,11,392000
Project 37,235,115,24,1070000,2,2,2,2,2,3,2,2,1,1,1600,10,2450,3,2,1,1,2,11.86666667,11.2,2,11.21833333,9,414500
Project 38,190,95,15,1150000,2,1,2,2,2,2,1,2,1,1,1650,8,2500,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,7,373250
Project 39,190,95,15,950000,1,1,1,1,1,2,1,1,1,1,1700,9,2450,3,2,1,1,2,11.63333333,10.6,3,10.575,6,359000
Project 40,205,95,17,1100000,2,1,1,1,1,2,1,1,1,1,1750,8,2600,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,7,382750
Project 41,200,95,15,3000000,2,1,2,2,2,2,2,2,2,2,3500,9,4800,3,3,2,2,2,17.5,14.56666667,3,14.573,8,658250
Project 42,160,75,18,2100000,2,1,2,2,2,2,1,1,2,1,3700,9,5050,1,2,1,1,2,17.53333333,13.76666667,3,13.742,9,570000
Project 43,190,85,20,4100000,2,1,2,1,2,2,1,2,2,2,3500,8,5000,1,2,1,1,2,17.5,14.56666667,2,14.573,7,617500
Project 44,210,100,18,3200000,2,2,2,1,2,2,2,1,1,2,3700,9,5050,3,2,1,1,2,17.53333333,13.76666667,3,13.742,10,710000
Project 45,220,110,20,2250000,2,2,2,1,2,3,2,1,1,2,3800,10,5200,3,1,1,1,2,16.66666667,12.16666667,2,12.16,7,788000
Project 46,250,120,10,5250000,2,2,2,2,2,3,2,2,2,2,3500,9,5000,3,3,2,2,2,17.5,14.56666667,2,14.573,10,804000
Project 47,240,120,15,6250000,2,1,2,1,2,3,2,1,1,2,3600,12,5350,3,3,2,2,2,17.9,15.13333333,2,15.10033333,12,858000
Project 48,200,100,12,4250000,2,1,2,2,2,3,2,2,1,2,2850,11,4200,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,10,615000
Project 49,230,105,8,4300000,2,1,2,2,2,3,2,2,2,2,3150,11,4600,3,2,1,1,2,19.7,26.23333333,1,26.23333333,5,685500
Project 50,210,90,8,3100000,2,1,2,2,2,2,1,1,2,1,3300,10,4600,3,3,2,2,2,19.63333333,14.93333333,2,14.928,7,600000
Project 51,220,90,7,4200000,2,2,2,1,2,2,1,2,2,2,3400,10,4900,3,2,2,2,2,18.23333333,12.96666667,2,12.985,2,627000
Project 52,225,110,8,5150000,2,1,2,2,2,3,2,2,1,2,3500,11,5000,3,2,1,1,2,17.5,14.56666667,2,14.573,4,749500
Project 53,230,105,9,3200000,2,1,2,1,2,3,2,2,1,1,2550,12,3700,1,1,1,1,2,15.4,18.76666667,1,18.753,5,554250
Project 54,200,95,14,2200000,2,2,2,1,2,2,1,2,2,1,2000,10,3000,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,8,430250
Project 55,170,80,8,1200000,2,1,2,1,2,2,1,1,1,1,1950,12,2850,1,1,1,1,2,13.06666667,12.2,2,12.181,4,366000
Project 56,200,95,12,3200000,2,2,2,2,2,2,2,2,2,2,3500,10,4800,3,2,1,1,2,17.5,14.56666667,2,14.573,3,653500
Project 57,220,110,5,2200000,2,2,2,1,2,3,2,1,2,2,3700,8,5050,3,2,1,1,2,17.53333333,13.76666667,2,13.742,4,760500
Project 58,300,100,5,4200000,2,2,2,1,2,3,2,2,2,2,3700,9,5250,1,1,1,1,2,17.53333333,13.76666667,2,13.742,4,725000
Project 59,300,75,12,4200000,2,1,2,2,2,2,1,1,1,1,3800,10,5400,1,2,1,1,2,16.66666667,12.16666667,2,12.16,7,596250
Project 60,210,100,15,2150000,2,1,2,1,2,3,2,2,1,2,2550,11,3700,1,3,1,1,2,15.4,18.76666667,1,18.753,10,540000
Project 61,280,140,20,4150000,2,2,2,1,2,4,3,2,1,3,3500,14,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,12,955000
Project 62,290,140,20,4300000,2,1,2,2,2,4,3,1,1,3,3800,12,5600,3,2,1,1,2,16.66666667,12.16666667,3,12.16,10,1025000
Project 63,300,150,10,4500000,2,1,2,1,2,4,3,1,1,3,3500,10,5200,3,3,2,2,2,17.5,14.56666667,2,14.573,8,1005000
Project 64,220,110,12,5500000,2,2,2,2,2,3,2,2,2,3,3800,11,5600,3,2,1,1,2,16.66666667,12.16666667,3,12.16,9,826500
Project 65,220,110,15,4500000,2,1,2,2,2,3,2,2,1,3,3600,12,5350,3,2,2,2,2,17.9,15.13333333,1,15.10033333,7,804500
Project 66,220,110,15,4800000,2,1,2,1,2,3,2,2,1,2,3500,12,5200,3,2,2,2,2,17.5,14.56666667,1,14.573,10,777000
Project 67,240,120,15,5200000,2,2,2,1,2,3,2,2,2,1,3900,10,5750,3,3,2,2,2,15.96666667,7,3,6.962666667,5,888000
Project 68,220,110,20,4200000,2,1,2,1,2,3,2,2,2,2,3500,10,5200,3,3,2,2,2,17.5,14.56666667,2,14.573,8,782500
Project 69,280,140,15,4150000,2,2,2,2,2,4,3,2,1,2,1950,12,3200,3,2,1,1,2,13.06666667,12.2,2,12.181,7,691000
Project 70,280,140,15,3150000,2,1,2,2,2,4,3,2,1,3,2850,10,4200,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,6,908000
Project 71,260,130,10,2350000,2,2,2,2,2,3,3,1,1,3,3700,13,5250,3,2,1,1,2,17.53333333,13.76666667,2,13.742,8,904000
Project 72,200,100,7,3350000,2,2,2,1,2,3,1,2,1,2,3800,13,5400,3,1,1,1,2,16.66666667,12.16666667,2,12.16,4,740000
Project 73,190,90,8,2450000,2,1,2,1,2,2,1,1,1,2,3600,10,5150,3,1,1,1,2,17.9,15.13333333,2,15.10033333,3,654000
Project 74,190,90,8,3450000,2,1,2,1,2,2,1,1,1,2,3400,8,4900,3,1,2,2,2,18.23333333,12.96666667,2,12.985,7,772500
Project 75,210,90,8,2450000,2,1,2,1,2,2,1,2,1,1,1750,9,2850,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,4,534000
Project 76,210,90,10,3560000,2,1,2,1,2,2,1,2,1,2,1800,12,2900,3,1,1,2,2,11.66666667,8.5,2,8.489,5,738500
Project 77,250,110,25,2500000,2,2,2,2,2,3,3,2,2,2,4000,12,6100,3,1,2,1,1,14.3,4.6,2,4.62,15,898000
Project 78,220,105,18,3500000,2,1,2,2,1,3,2,2,1,2,3600,15,5150,1,3,2,1,2,17.9,15.13333333,2,15.10033333,12,753750
Project 79,205,100,14,3100000,2,1,2,2,1,3,2,2,1,2,1500,15,2500,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,10,440000
Project 80,175,80,20,2100000,2,1,2,2,1,2,2,2,1,1,1500,15,2700,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,15,398000
Project 81,200,80,12,3200000,1,2,1,1,2,2,1,1,1,1,1700,14,2550,1,2,1,1,2,11.63333333,10.6,2,10.575,20,370000
Project 82,200,120,14,3100000,2,1,1,2,2,3,3,2,2,3,2550,15,4150,3,3,2,2,1,15.4,18.76666667,1,18.753,10,720000
Project 83,320,110,15,3150000,2,1,2,2,2,3,2,2,1,3,3800,10,5400,1,3,2,2,1,16.66666667,12.16666667,2,12.16,12,815500
Project 84,270,120,24,1900000,2,1,2,1,1,3,2,1,1,3,4000,9,5650,1,3,2,1,1,14.3,4.6,2,4.624666667,15,900000
Project 85,190,95,30,3800000,2,2,2,2,2,2,1,1,1,2,3700,12,4850,2,2,1,1,2,17.53333333,13.76666667,2,13.742,16,658250
Project 86,240,110,25,3500000,2,1,2,1,1,3,2,2,1,2,2700,11,4000,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,20,645000
Project 87,220,110,14,3250000,2,2,2,1,2,3,2,1,1,3,3000,12,3700,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,8,612000
Project 88,240,115,16,3750000,2,2,1,2,1,3,2,2,2,3,3500,14,5400,3,2,1,1,2,17.5,14.56666667,2,14.573,10,840000
Project 89,230,115,10,3700000,2,1,2,1,2,3,2,2,1,3,1850,10,2950,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,6,816250
Project 90,180,90,12,3400000,2,2,2,1,2,2,1,2,1,2,1900,12,3000,3,1,2,2,2,12.1,9.4,3,9.414666667,7,756500
Project 91,180,90,15,2400000,2,1,2,1,2,2,1,1,1,2,1950,13,3100,3,1,1,1,2,13.06666667,12.2,2,12.181,8,765500
Project 92,180,90,8,3150000,2,1,2,1,2,2,1,1,1,3,2550,10,3850,3,1,2,1,2,15.4,18.76666667,1,18.753,5,851000
Project 93,180,90,9,3150000,2,1,2,1,2,2,1,1,1,2,2700,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,7,887000
Project 94,210,100,8,3150000,2,1,2,1,2,2,1,1,1,3,2700,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,7,930000
Project 95,210,100,8,2150000,2,1,2,1,2,3,1,1,1,2,1600,10,2650,3,1,2,1,2,11.86666667,11.2,1,11.21833333,9,735000
Project 96,210,100,8,2150000,2,1,2,1,2,3,2,1,1,2,1600,12,2650,3,1,2,1,2,11.86666667,11.2,3,11.21833333,8,735000
Project 97,230,115,13,3240000,2,1,2,1,2,3,2,1,1,2,1550,10,2600,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,6,764500
Project 98,240,120,15,3450000,2,1,2,1,2,3,3,1,1,2,1700,10,2750,3,1,1,1,2,11.63333333,10.6,3,10.575,6,812000
Project 99,240,120,18,3650000,2,2,2,2,2,3,3,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,824000
Project 100,250,120,20,3850000,2,2,2,2,2,3,2,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,824000
Project 101,250,120,20,3850000,2,2,2,2,2,3,3,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,854000
Project 102,250,120,20,3650000,2,2,2,2,2,3,2,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,860000
Project 103,250,120,20,3850000,2,2,2,2,2,3,3,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,866000
Project 104,250,120,20,4450000,2,2,2,2,2,3,2,2,2,2,2000,11,3150,3,1,1,2,2,13.83333333,14.53333333,3,14.51866667,8,920000
Project 105,250,120,20,2550000,2,2,2,2,2,3,3,2,2,3,3000,11,4400,3,1,1,2,2,19.23333333,32.16666667,3,32.15333333,8,1160000
Project 106,200,100,8,4850000,2,1,2,1,2,2,2,1,1,3,3300,12,4950,3,2,1,2,2,19.63333333,14.93333333,3,14.928,4,970000
Project 107,220,110,4,4710000,2,1,2,1,2,3,2,1,1,3,3700,10,5500,3,2,1,1,2,17.53333333,13.76666667,3,13.742,4,1087500
Project 108,220,110,6,3100000,2,2,2,1,2,3,2,1,1,3,3800,10,4950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,4,1043500
Project 109,190,80,7,4050000,2,2,2,1,2,2,1,1,1,2,3500,11,5200,3,3,2,2,2,17.5,14.56666667,2,14.573,5,764000
Project 110,200,100,5,3150000,2,1,2,1,2,3,1,1,1,3,3900,10,5500,3,3,1,1,2,15.96666667,7,3,6.962666667,6,915000
Project 111,210,100,15,2180000,2,1,2,1,2,2,2,2,1,2,2550,11,3700,1,3,1,1,2,15.4,18.76666667,1,18.753,10,590000
Project 112,280,140,20,4120000,2,2,2,1,2,4,3,2,1,3,3500,12,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,12,1005000
Project 113,290,140,20,4100000,2,1,2,2,2,4,3,1,1,3,3800,12,5600,3,2,1,1,2,16.66666667,12.16666667,3,12.16,10,950000
Project 114,300,150,10,4650000,2,1,2,1,2,4,3,1,1,3,3500,9,5200,3,3,2,2,2,17.5,14.56666667,2,14.573,8,1055000
Project 115,220,110,12,5200000,2,2,2,2,2,3,2,2,2,2,3800,10,5600,3,2,1,1,2,16.66666667,12.16666667,3,12.16,9,751500
Project 116,220,110,15,4200000,2,1,2,2,2,3,2,2,1,2,3600,11,5350,3,2,2,2,2,17.9,15.13333333,1,15.10033333,7,729500
Project 117,220,110,15,4750000,2,1,2,1,2,3,2,2,1,2,3500,10,5200,3,2,2,2,2,17.5,14.56666667,1,14.573,10,702000
Project 118,240,120,15,4800000,2,2,2,1,2,3,2,2,2,2,3900,9,5750,3,3,2,2,2,15.96666667,7,3,6.962666667,5,813000
Project 119,220,110,20,4220000,2,1,2,1,2,3,2,2,2,2,3500,11,5200,3,3,2,2,2,17.5,14.56666667,2,14.573,8,832500
Project 120,280,140,15,4260000,2,2,2,2,2,4,3,2,1,2,2100,13,3400,3,2,1,1,2,13.06666667,12.2,2,12.181,7,741000
Project 121,280,140,15,3220000,2,1,2,2,2,4,2,2,1,3,2950,11,4400,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,6,958000
Project 122,260,130,10,2550000,2,2,2,2,2,4,2,1,1,3,3800,14,5400,3,2,1,1,2,17.53333333,13.76666667,2,13.742,8,954000
Project 123,200,100,7,3450000,2,2,2,1,2,3,1,2,1,2,3950,14,5500,3,1,1,1,2,16.66666667,12.16666667,2,12.16,4,790000
Project 124,190,90,8,2650000,2,1,2,1,2,2,1,1,1,2,3700,11,5300,3,1,1,1,2,17.9,15.13333333,2,15.10033333,3,704000
Project 125,190,90,8,3550000,2,1,2,1,2,2,1,1,1,2,3500,10,5100,3,1,2,2,2,18.23333333,12.96666667,2,12.985,7,822500
Project 126,210,90,8,2430000,2,1,2,1,2,2,1,2,1,1,1950,9,2700,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,4,459000
Project 127,210,90,10,3540000,2,1,2,1,2,2,1,2,1,1,1750,10,2800,3,1,1,2,2,11.66666667,8.5,2,8.489,5,663500
Project 128,250,110,25,2750000,2,2,2,2,2,3,1,2,2,3,4100,14,6200,3,1,2,1,1,14.3,4.6,2,4.62,15,948000
Project 129,220,105,18,3610000,2,1,2,2,1,3,2,2,1,2,3700,16,5300,1,3,2,1,2,17.9,15.13333333,2,15.10033333,12,803750
Project 130,205,100,14,3210000,2,1,2,2,1,3,2,2,1,1,1800,16,2800,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,10,490000
Project 131,190,90,8,4000000,2,2,2,2,2,2,1,2,2,2,3700,12,5250,3,3,2,2,2,17.53333333,13.76666667,3,13.742,4,880500
Project 132,230,115,10,3210000,2,1,2,2,2,3,2,1,1,2,3500,10,5000,3,2,1,1,2,17.5,14.56666667,2,14.573,6,990000
Project 133,240,120,7,3650000,2,1,2,1,2,3,3,2,1,3,3600,13,5150,3,2,1,1,2,17.9,15.13333333,2,15.10033333,5,1044000
Project 134,250,120,10,2650000,2,1,2,1,2,3,2,1,1,3,3700,10,5250,3,2,1,1,2,17.53333333,13.76666667,2,13.742,7,1056000
Project 135,180,90,15,3890000,2,1,2,1,2,2,1,1,1,2,3800,14,5400,3,2,1,1,2,16.66666667,12.16666667,2,12.16,6,876000
Project 136,200,100,10,4250000,2,1,2,2,2,3,1,2,2,3,3500,12,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,8,930000
Project 137,220,110,15,4310000,2,1,2,1,2,3,2,2,2,3,3150,15,4750,3,2,1,1,2,19.7,26.23333333,2,26.23333333,15,916000
Project 138,220,110,8,2560000,2,1,2,1,2,3,2,2,2,2,1750,10,2850,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,6,608000
Project 139,220,110,8,3170000,2,1,2,1,2,3,2,1,1,2,1800,13,2900,3,2,1,1,2,11.66666667,8.5,3,8.489,4,608000
Project 140,250,120,15,3540000,2,2,2,2,2,3,2,2,1,1,1600,14,2650,3,3,1,1,2,11.86666667,11.2,3,11.21833333,12,630000
Project 141,250,120,20,4140000,2,2,2,1,2,3,3,2,2,1,1800,16,2800,3,2,1,1,2,11.76666667,10.33333333,2,10.35033333,17,692000
Project 142,260,130,15,3410000,2,2,2,1,2,3,3,2,1,2,1600,14,2850,3,2,1,1,2,11.56666667,11.83333333,2,11.82166667,14,600500
Project 143,215,105,20,2410000,2,1,2,1,1,3,1,1,1,2,2100,12,2900,3,1,1,1,2,11.66666667,8.5,2,8.489,16,638750
Project 144,160,70,9,3300000,2,1,1,1,1,2,1,2,1,1,3700,7,4950,1,2,1,1,2,17.9,15.13333333,3,15.10033333,6,578000
Project 145,200,90,12,5200000,2,2,2,1,2,2,2,2,2,1,2800,9,4000,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,8,596000
Project 146,210,90,13,5100000,2,1,1,2,2,2,2,2,1,1,1750,10,2950,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,7,447500
Project 147,210,90,11,4200000,2,1,1,2,2,2,2,2,1,2,3500,10,4900,1,2,1,1,2,18.23333333,12.96666667,2,12.985,7,681500
Project 148,175,80,12,2800000,1,1,2,1,1,2,1,1,1,1,2800,8,3700,3,1,1,1,2,15.4,18.76666667,1,18.753,6,496000
Project 149,180,75,10,2540000,2,1,1,1,2,2,1,1,1,1,4000,7,5000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,5,608750
Project 150,200,80,15,2910000,2,1,2,2,2,2,1,1,2,1,1750,14,2850,3,1,1,1,2,11.56666667,11.83333333,2,11.82166667,10,520000
Project 151,220,90,10,2110000,2,2,2,2,2,2,1,1,1,1,1800,10,2900,3,2,1,1,2,11.66666667,8.5,2,8.489,14,552000
Project 152,220,90,22,3210000,2,1,2,2,2,2,1,2,2,1,1950,12,3100,3,2,1,1,2,13.06666667,12.2,2,12.181,17,597000
Project 153,320,100,25,4210000,2,1,2,2,2,2,2,1,2,2,2700,14,4200,3,2,1,1,2,16.53333333,29.73333333,1,29.76633333,22,810000
Project 154,280,120,18,4810000,2,1,2,2,2,3,3,2,2,3,2850,12,4400,3,2,1,1,2,17.23333333,30.33333333,1,30.31233333,15,906000
Project 155,280,120,18,5210000,2,1,2,2,2,3,3,1,1,3,3150,11,4750,3,2,1,1,2,19.7,26.23333333,2,26.23333333,12,1020000
Project 156,200,100,20,4210000,2,1,2,2,2,3,2,2,2,3,3400,12,5100,3,3,2,2,2,18.23333333,12.96666667,2,12.985,9,993000
Project 157,200,90,22,4350000,2,1,2,2,2,3,1,2,2,3,3400,12,5100,3,3,2,2,2,18.23333333,12.96666667,2,12.985,9,993000
Project 158,180,85,20,4210000,2,1,2,2,2,2,1,1,2,1,3600,10,5350,3,2,1,1,2,17.9,15.13333333,3,15.10033333,7,827000
Project 159,190,90,22,3910000,2,2,2,1,2,2,1,2,1,2,3500,11,5000,3,2,1,1,2,17.5,14.56666667,3,14.573,18,840000
Project 160,210,100,18,4010000,2,1,2,1,2,3,2,1,1,1,1950,12,3200,3,2,1,1,2,13.06666667,12.2,2,12.181,16,620000
Project 161,260,90,35,3540000,2,2,1,2,1,3,2,2,2,2,3800,14,5200,3,2,1,1,2,17.53333333,13.76666667,2,13.742,10,677500
Project 162,200,90,20,2630000,2,1,2,2,2,2,1,1,1,2,3650,14,4900,3,2,2,2,2,17.5,14.56666667,2,14.573,8,645500
Project 163,250,110,18,4520000,2,2,2,2,2,3,2,1,1,2,3200,14,4700,3,2,2,2,2,19.7,26.23333333,2,26.23333333,4,727000
Project 164,240,95,10,4610000,2,1,1,2,2,2,2,2,1,3,3600,8,5000,3,2,2,2,2,18.23333333,12.96666667,2,12.985,5,725000
Project 165,220,100,15,3840000,2,1,2,2,2,3,2,2,2,2,2100,10,2900,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,6,600000
Project 166,200,90,14,2010000,2,1,2,2,2,3,2,2,2,1,1900,10,2900,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,6,475000
Project 167,200,90,15,1600000,2,1,2,2,2,2,2,2,2,2,2100,10,3100,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,7,440000
Project 168,190,95,13,3310000,2,2,2,2,2,2,2,1,1,3,2800,9,4000,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,6,588500
Project 169,170,80,16,4210000,2,2,2,2,2,2,2,1,1,3,3300,8,4700,3,3,2,1,2,19.7,26.23333333,2,26.23333333,5,610000
Project 170,160,70,9,3160000,2,1,1,1,1,2,1,2,1,2,3700,7,5100,1,2,1,1,2,17.9,15.13333333,3,15.10033333,6,560000
Project 171,200,90,12,4900000,2,2,2,1,2,2,2,2,2,2,2700,9,4000,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,8,536000
Project 172,210,90,13,5920000,2,1,1,2,2,2,2,2,1,1,1750,10,2950,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,7,395500
Project 173,210,90,11,5100000,2,1,1,2,2,2,2,2,1,2,3400,10,4900,1,2,1,1,2,18.23333333,12.96666667,2,12.985,7,621500
Project 174,175,80,12,2190000,1,1,2,1,1,2,1,1,1,1,2550,8,3600,3,1,1,1,2,15.4,18.76666667,1,18.753,6,436000
Project 175,180,75,10,1400000,2,1,1,1,2,2,1,1,1,1,3800,7,4800,3,2,1,1,2,16.66666667,12.16666667,3,12.16,5,578750
Project 176,225,110,15,3170000,2,1,2,2,2,3,2,2,2,2,3900,10,5100,1,2,2,2,2,15.96666667,7,3,6.962666667,7,783500
Project 177,230,110,20,6100000,2,1,2,2,2,3,2,2,2,2,4000,11,4850,1,2,1,1,2,14.3,4.6,3,4.624666667,5,828500
Project 178,300,140,20,4800000,2,1,2,2,2,4,3,2,2,3,3700,7,5200,1,2,1,1,2,17.9,15.13333333,2,15.10033333,10,963000
Project 179,240,90,22,4150000,2,2,2,2,2,2,2,2,1,2,3650,9,5200,1,2,1,1,2,17.9,15.13333333,2,15.10033333,12,662000
